ts,symbol,open,high,low,close,quantity
2018-06-18 18:00:00, OKEX--ETH--USDT, 496.0336, 496.2384, 494.075, 494.2757, 1914.135334
2018-06-18 19:00:00, OKEX--ETH--USDT, 493.3129, 493.3249, 492.08, 492.56, 419.881609
2018-06-18 20:00:00, OKEX--ETH--USDT, 493.0535, 495.404, 492.8338, 494.5411, 689.829116
2018-06-18 21:00:00, OKEX--ETH--USDT, 493.9, 496.2308, 493.0, 494.5866, 892.37296
2018-06-20 03:00:00, OKEX--ETH--USDT, 531.5708, 537.0679, 531.51, 537.0679, 2364.647927
2018-06-20 04:00:00, OKEX--ETH--USDT, 537.0524, 538.0, 531.3986, 531.3986, 2149.267512
2018-06-20 05:00:00, OKEX--ETH--USDT, 531.3738, 535.1852, 530.2221, 534.944, 2271.716094
2018-06-20 06:00:00, OKEX--ETH--USDT, 535.1694, 536.6597, 534.0123, 535.6938, 2645.966103
2018-06-20 07:00:00, OKEX--ETH--USDT, 535.441, 538.4, 534.5784, 537.6681, 1797.796927
2018-06-20 08:00:00, OKEX--ETH--USDT, 537.6004, 538.91, 529.1786, 529.7501, 2182.441675
2018-06-20 09:00:00, OKEX--ETH--USDT, 527.6528, 527.6528, 517.0, 524.2787, 1383.278193
2018-06-20 10:00:00, OKEX--ETH--USDT, 524.4789, 524.4789, 520.246, 520.9, 1209.588138
2018-06-20 11:00:00, OKEX--ETH--USDT, 520.4478, 522.2, 519.3884, 519.9165, 1097.892033
2018-06-20 12:00:00, OKEX--ETH--USDT, 518.5363, 521.6705, 516.9599, 520.0523, 1429.063866
2018-06-20 13:00:00, OKEX--ETH--USDT, 520.7005, 521.058, 518.6273, 519.4416, 1629.441324
2018-06-20 14:00:00, OKEX--ETH--USDT, 518.8484, 523.6147, 518.7588, 523.099, 1642.574467
2018-06-20 15:00:00, OKEX--ETH--USDT, 524.4805, 524.7946, 523.0, 524.76, 2200.770592
2018-06-20 16:00:00, OKEX--ETH--USDT, 524.76, 525.9571, 523.7836, 525.7382, 1630.413654
2018-06-22 03:00:00, OKEX--ETH--USDT, 522.1265, 524.8837, 522.1264, 524.7757, 511.611333
2018-06-22 04:00:00, OKEX--ETH--USDT, 524.1078, 527.4513, 524.1078, 526.5393, 364.959326
2018-06-22 05:00:00, OKEX--ETH--USDT, 526.5393, 526.5441, 523.5838, 524.8615, 213.106431
2018-06-22 06:00:00, OKEX--ETH--USDT, 524.9604, 526.9061, 524.4618, 526.8355, 419.27233
2018-06-22 07:00:00, OKEX--ETH--USDT, 526.1976, 526.6504, 525.9759, 526.3468, 1379.071557
2018-06-22 08:00:00, OKEX--ETH--USDT, 526.3468, 526.3668, 524.7056, 524.9315, 1368.207348
2018-06-22 09:00:00, OKEX--ETH--USDT, 524.8088, 525.199, 511.0, 514.28, 810.344051
2018-06-22 10:00:00, OKEX--ETH--USDT, 514.8316, 516.6762, 512.5155, 516.44, 1714.637021
2018-06-22 11:00:00, OKEX--ETH--USDT, 516.3352, 517.9703, 516.0834, 516.525, 2700.531305
2018-06-22 12:00:00, OKEX--ETH--USDT, 516.5337, 517.1746, 513.197, 514.9613, 2228.60551
2018-06-22 13:00:00, OKEX--ETH--USDT, 515.3067, 516.9069, 513.259, 513.259, 2593.631377
2018-06-22 14:00:00, OKEX--ETH--USDT, 514.398, 515.5253, 512.0, 512.08, 2353.116652
2018-06-22 15:00:00, OKEX--ETH--USDT, 510.0, 510.2577, 495.9989, 496.7125, 2248.488307
2018-06-22 16:00:00, OKEX--ETH--USDT, 500.7358, 502.9453, 490.6417, 495.8419, 1832.6665
2018-06-22 17:00:00, OKEX--ETH--USDT, 495.7399, 496.3805, 490.831, 491.3572, 1558.369015
2018-06-22 18:00:00, OKEX--ETH--USDT, 487.8409, 492.1172, 484.9323, 491.4651, 930.277511
2018-06-22 19:00:00, OKEX--ETH--USDT, 489.4042, 491.5097, 484.1, 486.9916, 937.816105
2018-06-22 20:00:00, OKEX--ETH--USDT, 486.3756, 486.4948, 478.3013, 479.5201, 789.91303
2018-06-22 21:00:00, OKEX--ETH--USDT, 478.1419, 478.2938, 462.3375, 467.5, 616.876056
2018-06-23 03:00:00, OKEX--ETH--USDT, 477.6542, 480.2704, 475.5855, 475.9093, 343.322039
2018-06-23 04:00:00, OKEX--ETH--USDT, 475.9342, 476.0666, 458.8698, 462.6174, 607.053099
2018-06-23 05:00:00, OKEX--ETH--USDT, 462.4165, 462.4838, 449.9378, 450.2438, 1350.555057
2018-06-23 06:00:00, OKEX--ETH--USDT, 461.845, 466.6208, 455.0, 460.6227, 467.454556
2018-06-23 07:00:00, OKEX--ETH--USDT, 462.365, 465.4347, 462.0095, 462.5129, 866.697658
2018-06-23 08:00:00, OKEX--ETH--USDT, 463.3075, 473.8195, 460.8782, 472.9543, 361.308389
2018-06-23 09:00:00, OKEX--ETH--USDT, 469.9757, 472.6737, 467.0, 470.6299, 781.392064
2018-06-23 10:00:00, OKEX--ETH--USDT, 471.0137, 474.8952, 471.0137, 471.902, 884.787461
2018-06-23 11:00:00, OKEX--ETH--USDT, 472.8206, 473.8852, 464.7337, 466.1374, 682.712196
2018-06-23 12:00:00, OKEX--ETH--USDT, 466.0639, 469.2626, 466.0, 468.5728, 905.523083
2018-06-23 13:00:00, OKEX--ETH--USDT, 469.2638, 470.4, 463.0, 463.5246, 2780.289319
2018-06-23 14:00:00, OKEX--ETH--USDT, 463.5046, 463.5046, 455.9584, 459.8798, 2180.733994
2018-06-23 15:00:00, OKEX--ETH--USDT, 459.139, 468.2926, 458.9317, 467.9804, 1896.668975
2018-06-23 16:00:00, OKEX--ETH--USDT, 468.135, 469.4206, 465.0, 465.5, 2323.927968
2018-06-23 17:00:00, OKEX--ETH--USDT, 466.8678, 473.2222, 466.4926, 472.1491, 491.336083
2018-06-23 18:00:00, OKEX--ETH--USDT, 472.0709, 473.6318, 471.2673, 472.7293, 325.116457
2018-06-23 19:00:00, OKEX--ETH--USDT, 473.7346, 476.74, 469.341, 472.7425, 505.959627
2018-06-23 20:00:00, OKEX--ETH--USDT, 471.3911, 471.3911, 467.0627, 470.6912, 586.60046
2018-06-23 21:00:00, OKEX--ETH--USDT, 469.8858, 471.2016, 468.1864, 471.2016, 517.422209
2018-06-26 03:00:00, OKEX--ETH--USDT, 462.9244, 463.4324, 458.5735, 460.0761, 394.583815
2018-06-26 04:00:00, OKEX--ETH--USDT, 460.4276, 460.8804, 458.3514, 458.9942, 226.405897
2018-06-26 05:00:00, OKEX--ETH--USDT, 458.5908, 462.9946, 458.1982, 462.606, 419.458849
2018-06-26 06:00:00, OKEX--ETH--USDT, 462.915, 463.1358, 457.9258, 460.4506, 465.281322
2018-06-26 07:00:00, OKEX--ETH--USDT, 461.5611, 461.769, 457.8804, 458.748, 492.737413
2018-06-26 08:00:00, OKEX--ETH--USDT, 459.9151, 460.3408, 454.5785, 455.0238, 701.239376
2018-06-26 09:00:00, OKEX--ETH--USDT, 453.9232, 456.3574, 453.8399, 456.2, 532.115851
2018-06-26 10:00:00, OKEX--ETH--USDT, 456.5035, 458.099, 455.807, 457.7, 1794.350985
2018-06-26 11:00:00, OKEX--ETH--USDT, 457.5524, 458.7328, 456.8955, 458.6436, 2959.395997
2018-06-26 12:00:00, OKEX--ETH--USDT, 458.465, 458.8062, 457.0949, 458.4663, 3192.034832
2018-06-26 13:00:00, OKEX--ETH--USDT, 458.2578, 461.9757, 458.0567, 460.2677, 3112.124952
2018-06-26 14:00:00, OKEX--ETH--USDT, 460.2277, 460.2872, 457.0483, 457.3249, 2194.290304
2018-06-26 15:00:00, OKEX--ETH--USDT, 456.7534, 456.7652, 454.0, 455.1634, 1831.847696
2018-06-26 16:00:00, OKEX--ETH--USDT, 454.5663, 454.8119, 450.0, 451.1014, 1676.835655
2018-06-26 17:00:00, OKEX--ETH--USDT, 450.6176, 451.6408, 445.8466, 446.2666, 1650.499464
2018-06-26 18:00:00, OKEX--ETH--USDT, 446.4554, 451.0407, 444.95, 450.9736, 2128.731311
2018-06-26 19:00:00, OKEX--ETH--USDT, 450.9465, 451.1237, 449.0312, 449.3549, 2202.621207
2018-06-26 20:00:00, OKEX--ETH--USDT, 448.0063, 450.7355, 447.6996, 450.2215, 2487.832265
2018-06-26 21:00:00, OKEX--ETH--USDT, 450.145, 451.6088, 445.0492, 445.5104, 1639.295838
