datetime,open,high,low,close,volume
2017-09-06 09:00:00,561.0,564.7,560.0,564.6,274.57453974
2017-09-06 09:30:00,564.6,565.0,558.5,558.5,275.91048237
2017-09-06 10:00:00,558.51,565.0,557.45,565.0,194.42637643
2017-09-06 10:30:00,565.0,591.0,565.0,583.9,1856.75249392
2017-09-06 11:00:00,583.9,599.9,583.63,596.0,2059.72679529
2017-09-06 11:30:00,596.0,621.9,596.0,610.0,4966.44310213
2017-09-06 12:00:00,610.0,630.0,609.87,619.9,2566.23071676
2017-09-06 12:30:00,619.9,622.86,604.21,606.99,2580.67520965
2017-09-06 13:00:00,604.43,605.01,589.72,595.04,3764.90282227
2017-09-06 13:30:00,596.77,611.81,596.77,610.26,920.12982324
2017-09-06 14:00:00,610.74,624.0,606.29,622.23,976.51385004
2017-09-06 14:30:00,622.2,623.45,611.3,619.0,1119.29176481
2017-09-06 15:00:00,619.0,652.9,618.96,652.62,3840.85720177
2017-09-06 15:30:00,652.76,657.7,646.0,653.5,3099.44567956
2017-09-06 16:00:00,653.47,654.9,641.96,647.88,1954.32296652
2017-09-06 16:30:00,647.69,647.9,634.47,640.7,2288.36366483
2017-09-06 17:00:00,640.59,655.0,636.4,649.99,1366.91703224
2017-09-06 17:30:00,650.0,653.6,646.1,649.0,766.8235189
2017-09-06 18:00:00,648.99,649.0,642.1,648.9,853.10346506
2017-09-06 18:30:00,648.89,652.69,642.87,647.24,344.96493243
2017-09-06 19:00:00,646.53,652.0,633.33,648.0,771.29147265
2017-09-06 19:30:00,648.44,650.73,644.6,647.67,267.51967004
2017-09-06 20:00:00,647.49,651.0,641.61,644.57,738.92970736
2017-09-06 20:30:00,644.69,644.8,640.0,640.1,454.89192206
2017-09-06 21:00:00,639.92,645.11,636.11,644.76,816.41318413
2017-09-06 21:30:00,644.13,655.0,644.13,654.96,706.2119207000003
2017-09-06 22:00:00,654.75,654.77,644.81,646.67,2143.67033615
2017-09-06 22:30:00,647.1,655.0,645.18,652.7,712.43512375
2017-09-06 23:00:00,652.7,657.25,647.5,650.18,483.13270114
2017-09-06 23:30:00,650.17,651.0,640.0,644.51,539.02093567
2017-09-07 00:00:00,646.0,646.0,634.01,637.14,512.39632999
